id,order_id,product_variant_id,quantity,unit_price,icms_rate,ipi_rate,line_total,id_variant,product_id,id_order,placed_at,status,ano_mes
13078,4326,486,1,1758.87,18.0,0.0,1758.87,486,240,4326,2026-01-17 20:00:28,paid,2026-01
13081,4327,147,10,3400.77,17.0,5.0,34007.7,147,74,4327,2024-04-26 15:25:40,paid,2024-04
13338,4410,147,3,3400.77,17.0,5.0,10202.31,147,74,4410,2022-10-19 01:59:20,confirmed,2022-10
13700,4525,148,6,1235.13,17.0,10.0,7410.78,148,74,4525,2022-02-08 23:09:03,paid,2022-02
13808,4559,486,4,1758.87,18.0,0.0,7035.48,486,240,4559,2026-11-07 01:27:35,cancelled,2026-11
14038,4637,147,8,3400.77,17.0,5.0,27206.16,147,74,4637,2025-03-13 22:03:58,paid,2025-03
14153,4676,148,5,1235.13,17.0,10.0,6175.65,148,74,4676,2025-07-02 14:04:45,paid,2025-07
14291,4717,148,5,1235.13,17.0,10.0,6175.65,148,74,4717,2023-10-03 02:34:55,cancelled,2023-10
14324,4728,148,7,1235.13,17.0,10.0,8645.91,148,74,4728,2023-02-16 12:23:02,confirmed,2023-02
14506,4784,148,8,1235.13,17.0,10.0,9881.04,148,74,4784,2021-04-11 09:40:56,paid,2021-04
14661,4840,147,6,3400.77,17.0,5.0,20404.62,147,74,4840,2026-01-26 06:59:55,paid,2026-01
14747,4871,147,5,3400.77,17.0,5.0,17003.85,147,74,4871,2025-03-25 11:59:49,paid,2025-03
15112,4991,486,6,1758.87,18.0,0.0,10553.22,486,240,4991,2026-03-22 06:39:59,cancelled,2026-03
15559,5128,147,10,3400.77,17.0,5.0,34007.7,147,74,5128,2020-11-14 09:07:26,paid,2020-11
15666,5163,486,9,1758.87,18.0,0.0,15829.83,486,240,5163,2025-08-27 11:06:24,paid,2025-08
16124,5313,148,5,1235.13,17.0,10.0,6175.65,148,74,5313,2021-03-07 22:25:15,paid,2021-03
16431,5417,148,6,1235.13,17.0,10.0,7410.78,148,74,5417,2025-02-12 02:31:42,paid,2025-02
16448,5423,486,5,1758.87,18.0,0.0,8794.35,486,240,5423,2021-11-19 13:41:11,paid,2021-11
16884,5568,486,7,1758.87,18.0,0.0,12312.09,486,240,5568,2020-03-11 21:49:20,paid,2020-03
16946,5585,486,2,1758.87,18.0,0.0,3517.74,486,240,5585,2026-07-18 10:00:46,draft,2026-07
17164,5656,486,9,1758.87,18.0,0.0,15829.83,486,240,5656,2026-11-16 01:12:43,paid,2026-11
17190,5665,486,7,1758.87,18.0,0.0,12312.09,486,240,5665,2026-06-05 04:35:40,paid,2026-06
17420,5741,486,3,1758.87,18.0,0.0,5276.61,486,240,5741,2023-11-07 02:51:43,paid,2023-11
18695,6166,486,6,1758.87,18.0,0.0,10553.22,486,240,6166,2023-07-23 20:33:45,confirmed,2023-07
19247,6344,148,1,1235.13,17.0,10.0,1235.13,148,74,6344,2020-11-21 02:22:14,paid,2020-11
20235,6680,486,8,1758.87,18.0,0.0,14070.96,486,240,6680,2025-04-13 10:06:34,paid,2025-04
20435,6747,147,4,3400.77,17.0,5.0,13603.08,147,74,6747,2026-06-29 16:18:40,confirmed,2026-06
21485,7105,147,1,3400.77,17.0,5.0,3400.77,147,74,7105,2026-01-20 02:31:59,draft,2026-01
21764,7202,486,2,1758.87,18.0,0.0,3517.74,486,240,7202,2020-02-27 09:37:22,paid,2020-02
21808,7219,486,5,1758.87,18.0,0.0,8794.35,486,240,7219,2025-07-02 04:05:01,draft,2025-07
21970,7274,148,5,1235.13,17.0,10.0,6175.65,148,74,7274,2021-12-18 17:05:15,paid,2021-12
22135,7328,486,2,1758.87,18.0,0.0,3517.74,486,240,7328,2025-11-01 09:03:27,paid,2025-11
22499,7447,147,2,3400.77,17.0,5.0,6801.54,147,74,7447,2021-12-18 17:43:26,paid,2021-12
22507,7450,147,5,3400.77,17.0,5.0,17003.85,147,74,7450,2026-03-20 17:51:47,paid,2026-03
22977,7609,486,7,1758.87,18.0,0.0,12312.09,486,240,7609,2022-12-17 11:27:36,paid,2022-12
23156,7671,147,1,3400.77,17.0,5.0,3400.77,147,74,7671,2026-11-27 21:18:39,paid,2026-11
24086,7978,486,4,1758.87,18.0,0.0,7035.48,486,240,7978,2024-06-23 19:52:25,confirmed,2024-06
24171,8007,147,10,3400.77,17.0,5.0,34007.7,147,74,8007,2024-03-02 05:33:37,cancelled,2024-03
24241,8029,486,3,1758.87,18.0,0.0,5276.61,486,240,8029,2025-03-01 17:38:51,paid,2025-03
24468,8104,147,5,3400.77,17.0,5.0,17003.85,147,74,8104,2022-10-14 07:16:50,confirmed,2022-10
24642,8162,148,8,1235.13,17.0,10.0,9881.04,148,74,8162,2021-08-08 04:11:24,paid,2021-08
24762,8198,148,1,1235.13,17.0,10.0,1235.13,148,74,8198,2021-04-09 10:24:34,paid,2021-04
24839,8226,147,5,3400.77,17.0,5.0,17003.85,147,74,8226,2021-02-23 19:09:12,paid,2021-02
24968,8267,486,6,1758.87,18.0,0.0,10553.22,486,240,8267,2021-12-10 18:11:51,paid,2021-12
25040,8293,147,4,3400.77,17.0,5.0,13603.08,147,74,8293,2021-11-07 04:14:51,paid,2021-11
25820,8555,486,4,1758.87,18.0,0.0,7035.48,486,240,8555,2020-11-04 05:30:57,paid,2020-11
25822,8555,148,9,1235.13,17.0,10.0,11116.17,148,74,8555,2020-11-04 05:30:57,paid,2020-11
26088,8645,148,7,1235.13,17.0,10.0,8645.91,148,74,8645,2024-01-15 09:21:13,paid,2024-01
26290,8706,147,1,3400.77,17.0,5.0,3400.77,147,74,8706,2023-02-15 11:47:40,paid,2023-02
26626,8816,486,10,1758.87,18.0,0.0,17588.7,486,240,8816,2026-05-10 08:30:57,paid,2026-05
27090,8957,147,1,3400.77,17.0,5.0,3400.77,147,74,8957,2022-04-16 01:33:08,paid,2022-04
27758,9166,486,2,1758.87,18.0,0.0,3517.74,486,240,9166,2026-11-06 05:00:05,paid,2026-11
27809,9183,486,10,1758.87,18.0,0.0,17588.7,486,240,9183,2026-06-19 16:46:47,paid,2026-06
28111,9286,147,4,3400.77,17.0,5.0,13603.08,147,74,9286,2024-04-01 12:04:00,paid,2024-04
28328,9360,148,10,1235.13,17.0,10.0,12351.3,148,74,9360,2020-12-18 05:52:23,confirmed,2020-12
29144,9627,147,1,3400.77,17.0,5.0,3400.77,147,74,9627,2025-10-03 17:59:50,paid,2025-10
30229,9986,147,1,3400.77,17.0,5.0,3400.77,147,74,9986,2025-10-05 09:36:04,cancelled,2025-10
30289,10006,486,8,1758.87,18.0,0.0,14070.96,486,240,10006,2026-09-26 13:30:40,confirmed,2026-09
30547,10096,486,4,1758.87,18.0,0.0,7035.48,486,240,10096,2021-09-13 23:05:26,cancelled,2021-09
31293,10347,148,8,1235.13,17.0,10.0,9881.04,148,74,10347,2026-12-23 20:24:01,paid,2026-12
31767,10509,147,7,3400.77,17.0,5.0,23805.39,147,74,10509,2021-12-23 01:35:01,confirmed,2021-12
31863,10544,147,6,3400.77,17.0,5.0,20404.62,147,74,10544,2022-12-26 08:46:30,paid,2022-12
32113,10627,148,4,1235.13,17.0,10.0,4940.52,148,74,10627,2022-10-21 19:00:45,paid,2022-10
33567,11119,486,1,1758.87,18.0,0.0,1758.87,486,240,11119,2022-03-16 12:39:56,cancelled,2022-03
33593,11127,148,6,1235.13,17.0,10.0,7410.78,148,74,11127,2024-01-02 16:14:20,paid,2024-01
34313,11381,147,4,3400.77,17.0,5.0,13603.08,147,74,11381,2020-01-21 20:59:00,confirmed,2020-01
34406,11410,486,1,1758.87,18.0,0.0,1758.87,486,240,11410,2023-03-11 00:12:19,paid,2023-03
35138,11651,148,9,1235.13,17.0,10.0,11116.17,148,74,11651,2022-10-13 08:50:38,paid,2022-10
35288,11702,147,4,3400.77,17.0,5.0,13603.08,147,74,11702,2022-12-03 11:35:18,paid,2022-12
35310,11711,486,2,1758.87,18.0,0.0,3517.74,486,240,11711,2026-09-19 19:59:12,paid,2026-09
36017,11953,147,2,3400.77,17.0,5.0,6801.54,147,74,11953,2020-01-03 22:58:57,draft,2020-01
36624,12145,147,3,3400.77,17.0,5.0,10202.31,147,74,12145,2025-11-27 11:04:54,paid,2025-11
36639,12151,148,4,1235.13,17.0,10.0,4940.52,148,74,12151,2026-02-14 10:33:17,confirmed,2026-02
37049,12292,148,6,1235.13,17.0,10.0,7410.78,148,74,12292,2024-02-08 18:43:14,confirmed,2024-02
37229,12356,486,7,1758.87,18.0,0.0,12312.09,486,240,12356,2025-11-08 08:25:16,paid,2025-11
37236,12360,148,5,1235.13,17.0,10.0,6175.65,148,74,12360,2026-05-27 18:50:54,cancelled,2026-05
37712,12508,486,3,1758.87,18.0,0.0,5276.61,486,240,12508,2021-01-03 16:18:35,paid,2021-01
37763,12527,147,2,3400.77,17.0,5.0,6801.54,147,74,12527,2024-12-08 07:45:35,paid,2024-12
37880,12562,148,6,1235.13,17.0,10.0,7410.78,148,74,12562,2021-06-27 19:28:41,paid,2021-06
38047,12620,147,2,3400.77,17.0,5.0,6801.54,147,74,12620,2026-02-22 21:26:53,draft,2026-02
38967,12910,147,5,3400.77,17.0,5.0,17003.85,147,74,12910,2021-11-13 04:01:18,paid,2021-11
39435,13076,147,9,3400.77,17.0,5.0,30606.93,147,74,13076,2023-12-21 18:22:27,cancelled,2023-12
39463,13087,148,1,1235.13,17.0,10.0,1235.13,148,74,13087,2026-09-27 01:44:14,paid,2026-09
39641,13142,148,1,1235.13,17.0,10.0,1235.13,148,74,13142,2022-03-14 06:51:20,draft,2022-03
40015,13268,147,2,3400.77,17.0,5.0,6801.54,147,74,13268,2024-05-06 22:56:51,paid,2024-05
40496,13428,147,9,3400.77,17.0,5.0,30606.93,147,74,13428,2024-10-01 09:24:05,paid,2024-10
40793,13526,148,7,1235.13,17.0,10.0,8645.91,148,74,13526,2021-04-11 14:27:56,paid,2021-04
40987,13595,486,7,1758.87,18.0,0.0,12312.09,486,240,13595,2020-12-21 00:36:42,paid,2020-12
41049,13615,486,6,1758.87,18.0,0.0,10553.22,486,240,13615,2021-10-05 21:16:16,paid,2021-10
41609,13793,147,6,3400.77,17.0,5.0,20404.62,147,74,13793,2026-12-02 18:33:52,paid,2026-12
41667,13809,486,8,1758.87,18.0,0.0,14070.96,486,240,13809,2024-04-24 12:31:01,paid,2024-04
41919,13891,148,7,1235.13,17.0,10.0,8645.91,148,74,13891,2025-11-17 20:23:04,paid,2025-11
42187,13973,148,1,1235.13,17.0,10.0,1235.13,148,74,13973,2023-08-09 19:15:56,confirmed,2023-08
43246,14313,148,5,1235.13,17.0,10.0,6175.65,148,74,14313,2023-10-08 13:22:13,paid,2023-10
43416,14368,148,10,1235.13,17.0,10.0,12351.3,148,74,14368,2021-12-27 12:26:27,confirmed,2021-12
43989,14544,147,4,3400.77,17.0,5.0,13603.08,147,74,14544,2024-03-16 01:37:16,paid,2024-03
43994,14545,486,8,1758.87,18.0,0.0,14070.96,486,240,14545,2022-04-01 11:54:06,paid,2022-04
44234,14626,147,3,3400.77,17.0,5.0,10202.31,147,74,14626,2025-12-07 10:55:39,paid,2025-12
44826,14828,147,8,3400.77,17.0,5.0,27206.16,147,74,14828,2026-09-17 20:15:34,paid,2026-09
45136,14931,148,6,1235.13,17.0,10.0,7410.78,148,74,14931,2021-02-07 03:47:56,cancelled,2021-02
45320,14987,147,10,3400.77,17.0,5.0,34007.7,147,74,14987,2025-05-05 22:12:23,paid,2025-05
45464,15043,486,6,1758.87,18.0,0.0,10553.22,486,240,15043,2025-11-10 09:02:40,cancelled,2025-11
45475,15046,148,7,1235.13,17.0,10.0,8645.91,148,74,15046,2023-04-26 03:42:09,confirmed,2023-04
46065,15239,147,5,3400.77,17.0,5.0,17003.85,147,74,15239,2026-09-06 07:44:07,paid,2026-09
46220,15288,486,7,1758.87,18.0,0.0,12312.09,486,240,15288,2020-09-16 18:28:40,confirmed,2020-09
46468,15370,148,2,1235.13,17.0,10.0,2470.26,148,74,15370,2025-11-02 09:27:57,paid,2025-11
46669,15439,147,3,3400.77,17.0,5.0,10202.31,147,74,15439,2024-01-18 07:36:28,paid,2024-01
47092,15574,148,6,1235.13,17.0,10.0,7410.78,148,74,15574,2022-09-06 14:53:33,paid,2022-09
48544,16044,148,4,1235.13,17.0,10.0,4940.52,148,74,16044,2024-02-02 06:18:43,paid,2024-02
48767,16112,486,10,1758.87,18.0,0.0,17588.7,486,240,16112,2022-12-14 23:52:13,paid,2022-12
48894,16151,147,10,3400.77,17.0,5.0,34007.7,147,74,16151,2021-11-09 20:04:11,paid,2021-11
49089,16220,486,9,1758.87,18.0,0.0,15829.83,486,240,16220,2022-03-31 05:31:52,confirmed,2022-03
50538,16698,486,3,1758.87,18.0,0.0,5276.61,486,240,16698,2024-01-19 22:47:22,confirmed,2024-01
50609,16722,147,9,3400.77,17.0,5.0,30606.93,147,74,16722,2026-01-16 20:42:43,paid,2026-01
50615,16724,148,2,1235.13,17.0,10.0,2470.26,148,74,16724,2026-12-05 13:02:06,paid,2026-12
51169,16908,148,10,1235.13,17.0,10.0,12351.3,148,74,16908,2023-10-16 01:29:47,paid,2023-10
52304,17291,148,10,1235.13,17.0,10.0,12351.3,148,74,17291,2024-03-27 05:57:36,paid,2024-03
52319,17296,148,6,1235.13,17.0,10.0,7410.78,148,74,17296,2023-10-05 18:15:19,paid,2023-10
52462,17346,147,8,3400.77,17.0,5.0,27206.16,147,74,17346,2025-10-14 05:49:10,cancelled,2025-10
52559,17377,147,7,3400.77,17.0,5.0,23805.39,147,74,17377,2026-07-24 05:04:23,paid,2026-07
52882,17485,148,7,1235.13,17.0,10.0,8645.91,148,74,17485,2023-11-25 00:38:47,paid,2023-11
53750,17760,486,6,1758.87,18.0,0.0,10553.22,486,240,17760,2022-07-25 17:20:14,cancelled,2022-07
53793,17776,147,8,3400.77,17.0,5.0,27206.16,147,74,17776,2020-06-26 00:22:47,paid,2020-06
54505,18011,147,10,3400.77,17.0,5.0,34007.7,147,74,18011,2026-03-27 20:22:11,confirmed,2026-03
54545,18024,148,6,1235.13,17.0,10.0,7410.78,148,74,18024,2026-01-14 15:46:51,confirmed,2026-01
54656,18061,147,1,3400.77,17.0,5.0,3400.77,147,74,18061,2021-12-30 22:47:18,paid,2021-12
54800,18104,486,1,1758.87,18.0,0.0,1758.87,486,240,18104,2023-02-01 22:15:40,confirmed,2023-02
55231,18245,147,9,3400.77,17.0,5.0,30606.93,147,74,18245,2023-12-13 05:30:12,paid,2023-12
55257,18255,148,2,1235.13,17.0,10.0,2470.26,148,74,18255,2026-03-16 17:38:53,paid,2026-03
55365,18291,486,5,1758.87,18.0,0.0,8794.35,486,240,18291,2022-08-23 09:25:54,draft,2022-08
55367,18292,148,1,1235.13,17.0,10.0,1235.13,148,74,18292,2026-01-18 16:27:19,paid,2026-01
55389,18300,148,3,1235.13,17.0,10.0,3705.39,148,74,18300,2026-03-20 14:48:19,draft,2026-03
55853,18461,486,3,1758.87,18.0,0.0,5276.61,486,240,18461,2025-10-29 22:24:18,paid,2025-10
56220,18573,147,4,3400.77,17.0,5.0,13603.08,147,74,18573,2025-11-11 06:06:06,paid,2025-11
56517,18677,148,4,1235.13,17.0,10.0,4940.52,148,74,18677,2026-09-19 09:44:40,paid,2026-09
56552,18688,486,1,1758.87,18.0,0.0,1758.87,486,240,18688,2021-10-25 16:54:55,paid,2021-10
56820,18775,147,7,3400.77,17.0,5.0,23805.39,147,74,18775,2022-06-10 17:07:30,confirmed,2022-06
56947,18819,147,10,3400.77,17.0,5.0,34007.7,147,74,18819,2025-03-08 16:54:57,draft,2025-03
57075,18861,486,3,1758.87,18.0,0.0,5276.61,486,240,18861,2022-10-30 11:02:35,cancelled,2022-10
57454,18982,486,2,1758.87,18.0,0.0,3517.74,486,240,18982,2025-12-14 10:04:05,paid,2025-12
58470,19317,147,3,3400.77,17.0,5.0,10202.31,147,74,19317,2021-08-16 02:15:40,paid,2021-08
58844,19442,486,4,1758.87,18.0,0.0,7035.48,486,240,19442,2023-01-22 05:01:17,paid,2023-01
59009,19500,148,7,1235.13,17.0,10.0,8645.91,148,74,19500,2025-09-02 20:52:07,paid,2025-09
59285,19592,148,4,1235.13,17.0,10.0,4940.52,148,74,19592,2024-09-17 11:26:27,paid,2024-09
59516,19674,148,1,1235.13,17.0,10.0,1235.13,148,74,19674,2022-08-07 18:05:12,confirmed,2022-08
60446,19986,486,4,1758.87,18.0,0.0,7035.48,486,240,19986,2022-12-06 13:38:50,paid,2022-12
61016,20179,486,10,1758.87,18.0,0.0,17588.7,486,240,20179,2024-01-03 09:37:37,cancelled,2024-01
61032,20185,486,8,1758.87,18.0,0.0,14070.96,486,240,20185,2026-04-27 12:57:38,draft,2026-04
61536,20359,147,9,3400.77,17.0,5.0,30606.93,147,74,20359,2026-06-23 13:45:56,paid,2026-06
61753,20429,148,6,1235.13,17.0,10.0,7410.78,148,74,20429,2022-03-07 09:04:09,confirmed,2022-03
62126,20557,486,1,1758.87,18.0,0.0,1758.87,486,240,20557,2024-09-27 09:46:17,cancelled,2024-09
62673,20742,147,2,3400.77,17.0,5.0,6801.54,147,74,20742,2024-11-04 22:22:53,paid,2024-11
62981,20847,148,5,1235.13,17.0,10.0,6175.65,148,74,20847,2026-10-25 06:25:05,paid,2026-10
63222,20928,486,10,1758.87,18.0,0.0,17588.7,486,240,20928,2020-11-16 22:17:08,paid,2020-11
63336,20962,147,10,3400.77,17.0,5.0,34007.7,147,74,20962,2024-12-28 15:10:18,paid,2024-12
63743,21093,147,9,3400.77,17.0,5.0,30606.93,147,74,21093,2024-04-03 09:03:29,paid,2024-04
63765,21101,148,10,1235.13,17.0,10.0,12351.3,148,74,21101,2022-02-25 01:09:16,cancelled,2022-02
64080,21215,486,7,1758.87,18.0,0.0,12312.09,486,240,21215,2025-01-05 08:46:09,paid,2025-01
64970,21502,147,5,3400.77,17.0,5.0,17003.85,147,74,21502,2025-02-04 05:53:41,paid,2025-02
65079,21540,148,9,1235.13,17.0,10.0,11116.17,148,74,21540,2020-01-17 13:06:23,paid,2020-01
65122,21554,147,10,3400.77,17.0,5.0,34007.7,147,74,21554,2022-10-09 09:29:42,confirmed,2022-10
65376,21635,148,5,1235.13,17.0,10.0,6175.65,148,74,21635,2021-03-10 03:21:17,cancelled,2021-03
65822,21775,148,4,1235.13,17.0,10.0,4940.52,148,74,21775,2020-07-28 07:03:17,paid,2020-07
65875,21791,148,2,1235.13,17.0,10.0,2470.26,148,74,21791,2025-09-24 22:17:13,paid,2025-09
65992,21826,148,10,1235.13,17.0,10.0,12351.3,148,74,21826,2024-11-09 20:17:53,paid,2024-11
66787,22099,486,2,1758.87,18.0,0.0,3517.74,486,240,22099,2022-11-23 06:04:06,paid,2022-11
67208,22249,148,8,1235.13,17.0,10.0,9881.04,148,74,22249,2026-01-23 16:50:49,confirmed,2026-01
67483,22343,147,8,3400.77,17.0,5.0,27206.16,147,74,22343,2020-04-22 19:41:43,paid,2020-04
67682,22406,486,9,1758.87,18.0,0.0,15829.83,486,240,22406,2024-02-05 08:07:08,confirmed,2024-02
68115,22554,148,4,1235.13,17.0,10.0,4940.52,148,74,22554,2026-03-26 16:58:10,paid,2026-03
69660,23069,147,1,3400.77,17.0,5.0,3400.77,147,74,23069,2021-01-14 23:52:49,paid,2021-01
69831,23128,148,2,1235.13,17.0,10.0,2470.26,148,74,23128,2025-07-16 00:53:51,confirmed,2025-07
69976,23173,486,5,1758.87,18.0,0.0,8794.35,486,240,23173,2025-10-13 06:11:23,paid,2025-10
70028,23190,486,10,1758.87,18.0,0.0,17588.7,486,240,23190,2022-01-08 11:37:38,paid,2022-01
70083,23210,486,9,1758.87,18.0,0.0,15829.83,486,240,23210,2022-10-16 19:20:40,paid,2022-10
70089,23212,147,5,3400.77,17.0,5.0,17003.85,147,74,23212,2026-02-04 00:50:02,paid,2026-02
70361,23308,148,4,1235.13,17.0,10.0,4940.52,148,74,23308,2020-04-16 09:19:19,cancelled,2020-04
70642,23397,147,9,3400.77,17.0,5.0,30606.93,147,74,23397,2024-08-27 18:06:06,paid,2024-08
71160,23560,147,4,3400.77,17.0,5.0,13603.08,147,74,23560,2022-09-21 09:35:37,paid,2022-09
71854,23790,148,7,1235.13,17.0,10.0,8645.91,148,74,23790,2024-04-27 23:26:57,confirmed,2024-04
72042,23846,148,9,1235.13,17.0,10.0,11116.17,148,74,23846,2020-12-27 22:02:35,paid,2020-12
72312,23936,147,1,3400.77,17.0,5.0,3400.77,147,74,23936,2025-12-20 02:09:56,confirmed,2025-12
72434,23972,148,1,1235.13,17.0,10.0,1235.13,148,74,23972,2024-06-03 10:55:54,cancelled,2024-06
72614,24032,486,3,1758.87,18.0,0.0,5276.61,486,240,24032,2022-02-25 20:14:31,paid,2022-02
73193,24232,148,4,1235.13,17.0,10.0,4940.52,148,74,24232,2026-08-18 07:54:03,paid,2026-08
73677,24394,486,5,1758.87,18.0,0.0,8794.35,486,240,24394,2021-05-04 12:00:14,paid,2021-05
74077,24532,486,5,1758.87,18.0,0.0,8794.35,486,240,24532,2025-01-10 01:42:37,paid,2025-01
74377,24637,148,10,1235.13,17.0,10.0,12351.3,148,74,24637,2026-08-16 14:08:51,paid,2026-08
74480,24674,147,9,3400.77,17.0,5.0,30606.93,147,74,24674,2020-08-03 13:48:50,confirmed,2020-08
75527,25021,147,5,3400.77,17.0,5.0,17003.85,147,74,25021,2023-09-17 20:02:11,confirmed,2023-09
76038,25177,147,6,3400.77,17.0,5.0,20404.62,147,74,25177,2022-03-18 20:36:26,paid,2022-03
76299,25261,148,6,1235.13,17.0,10.0,7410.78,148,74,25261,2026-05-14 17:56:36,paid,2026-05
76485,25323,147,6,3400.77,17.0,5.0,20404.62,147,74,25323,2025-12-29 00:53:21,paid,2025-12
76543,25341,147,7,3400.77,17.0,5.0,23805.39,147,74,25341,2022-09-29 03:07:40,paid,2022-09
76606,25361,486,2,1758.87,18.0,0.0,3517.74,486,240,25361,2024-03-11 05:56:13,confirmed,2024-03
77017,25499,147,3,3400.77,17.0,5.0,10202.31,147,74,25499,2023-12-19 02:15:32,paid,2023-12
77031,25504,148,3,1235.13,17.0,10.0,3705.39,148,74,25504,2026-10-23 15:11:17,cancelled,2026-10
77155,25542,486,3,1758.87,18.0,0.0,5276.61,486,240,25542,2026-12-27 11:13:12,paid,2026-12
77643,25698,148,2,1235.13,17.0,10.0,2470.26,148,74,25698,2026-09-16 18:06:57,confirmed,2026-09
77686,25709,148,1,1235.13,17.0,10.0,1235.13,148,74,25709,2026-12-31 21:59:40,paid,2026-12
77691,25712,148,9,1235.13,17.0,10.0,11116.17,148,74,25712,2026-11-25 08:49:51,paid,2026-11
77706,25717,148,1,1235.13,17.0,10.0,1235.13,148,74,25717,2024-05-19 19:40:55,paid,2024-05
78491,25983,147,10,3400.77,17.0,5.0,34007.7,147,74,25983,2024-12-12 10:09:59,cancelled,2024-12
78609,26027,148,5,1235.13,17.0,10.0,6175.65,148,74,26027,2025-07-01 14:52:13,paid,2025-07
